Anime_id,Title,Genre,Synopsis,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link
1535,Death Note,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen']","A shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a Death Note, drops one into the human realm. 
 
High school student and prodigy Light Yagami stumbles upon the Death Note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. When the criminal dies immediately following his experiment with the Death Note, Light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be.             
 
With this divine capability, Light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. Police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. To do this, the Japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of L. 
 
[Written by MAL Rewrite]",TV,"['VAP', 'Konami', 'Ashi Production', 'Nippon Television Network', 'Shueisha']",['Madhouse'],8.67,1006242.0,1.0,1451708.0,37.0,Manga,"Oct 4, 2006 to Jun 27, 2007",https://myanimelist.net/anime/1535/Death_Note
16498,Shingeki no Kyojin,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']","Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations. 
 
After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Based on Hajime Isayama's award-winning manga,  Shingeki no Kyojin  follows Eren, along with his adopted sister Mikasa Ackerman and his childhood friend Armin Arlert, as they join the brutal war against the titans and race to discover a way of defeating them before the last walls are breached. 
 
[Written by MAL Rewrite]",TV,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Shingeki no Kyojin Team', 'Pony Canyon Enterprise']",['Wit Studio'],8.49,936784.0,2.0,1340641.0,25.0,Manga,"Apr 7, 2013 to Sep 29, 2013",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
11757,Sword Art Online,"['Action', 'Adventure', 'Fantasy', 'Game', 'Romance']","In the year 2022, virtual reality has progressed by leaps and bounds, and a massive online role-playing game called Sword Art Online (SAO) is launched. With the aid of ""NerveGear"" technology, players can control their avatars within the game using nothing but their own thoughts. 
 
Kazuto Kirigaya, nicknamed ""Kirito,"" is among the lucky few enthusiasts who get their hands on the first shipment of the game. He logs in to find himself, with ten-thousand others, in the scenic and elaborate world of Aincrad, one full of fantastic medieval weapons and gruesome monsters. However, in a cruel turn of events, the players soon realize they cannot log out; the game's creator has trapped them in his new world until they complete all one hundred levels of the game. 
 
In order to escape Aincrad, Kirito will now have to interact and cooperate with his fellow players. Some are allies, while others are foes, like Asuna Yuuki, who commands the leading group attempting to escape from the ruthless game. To make matters worse, Sword Art Online is not all fun and games: if they die in Aincrad, they die in real life. Kirito must adapt to his new reality, fight for his survival, and hopefully break free from his virtual hell. 
 
[Written by MAL Rewrite]",TV,"['Aniplex', 'Genco', 'DAX Production', 'ASCII Media Works']",['A-1 Pictures'],7.64,913806.0,3.0,1297309.0,25.0,Light novel,"Jul 8, 2012 to Dec 23, 2012",https://myanimelist.net/anime/11757/Sword_Art_Online
5114,Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","""In order for something to be obtained, something of equal value must be lost."" 
 
Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist. 
 
Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity. 
 
[Written by MAL Rewrite]",TV,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']",['Bones'],9.25,730784.0,4.0,1194518.0,64.0,Manga,"Apr 5, 2009 to Jul 4, 2010",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
30276,One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']","The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the process. Now, Saitama is incredibly powerful, so much so that no enemy is able to defeat him in battle. In fact, all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored. 
  
This all changes with the arrival of Genos, a 19-year-old cyborg, who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society, and Saitama, shocked that no one knows who he is, quickly agrees. And thus begins the story of  One Punch Man , an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe, he'll become popular in the process. 
 
[Written by MAL Rewrite]",TV,"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'East Japan Marketing &amp; Communications']",['Madhouse'],8.73,687965.0,5.0,1015163.0,12.0,Web manga,"Oct 5, 2015 to Dec 21, 2015",https://myanimelist.net/anime/30276/One_Punch_Man
22319,Tokyo Ghoul,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']","Tokyo has become a cruel and merciless city—a place where vicious creatures called “ghouls” exist alongside humans. The citizens of this once great metropolis live in constant fear of these bloodthirsty savages and their thirst for human flesh. However, the greatest threat these ghouls pose is their dangerous ability to masquerade as humans and blend in with society. 
 
Based on the best-selling supernatural horror manga by Sui Ishida,  Tokyo Ghoul  follows Ken Kaneki, a shy, bookish college student, who is instantly drawn to Rize Kamishiro, an avid reader like himself. However, Rize is not exactly who she seems, and this unfortunate meeting pushes Kaneki into the dark depths of the ghouls' inhuman world. In a twist of fate, Kaneki is saved by the enigmatic waitress Touka Kirishima, and thus begins his new, secret life as a half-ghoul/half-human who must find a way to integrate into both societies. 
 
[Written by MAL Rewrite]",TV,"['Marvelous AQL', 'TC Entertainment', 'Shueisha']",['Studio Pierrot'],8.01,656039.0,6.0,1008192.0,12.0,Manga,"Jul 4, 2014 to Sep 19, 2014",https://myanimelist.net/anime/22319/Tokyo_Ghoul
6547,Angel Beats!,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']","Otonashi awakens only to learn he is dead. A rifle-toting girl named Yuri explains that they are in the afterlife, and Otonashi realizes the only thing he can remember about himself is his name. Yuri tells him that she leads the Shinda Sekai Sensen (Afterlife Battlefront) and wages war against a girl named Tenshi. Unable to believe Yuri's claims that Tenshi is evil, Otonashi attempts to speak with her, but the encounter doesn't go as he intended. 
 
Otonashi decides to join the SSS and battle Tenshi, but he finds himself oddly drawn to her. While trying to regain his memories and understand Tenshi, he gradually unravels the mysteries of the afterlife. 
 
[Written by MAL Rewrite]",TV,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'CBC', 'Movic', 'Visual Art&#039;s', 'ASCII Media Works']",['P.A. Works'],8.31,640177.0,10.0,1007952.0,13.0,Original,"Apr 3, 2010 to Jun 26, 2010",https://myanimelist.net/anime/6547/Angel_Beats
9253,Steins;Gate,"['Thriller', 'Sci-Fi']","The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel. 
 
Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history. 
 
Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus,  Steins;Gate  takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time. 
 
[Written by MAL Rewrite]",TV,"['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['White Fox'],9.14,561405.0,7.0,1005781.0,24.0,Visual novel,"Apr 6, 2011 to Sep 14, 2011",https://myanimelist.net/anime/9253/Steins_Gate
1575,Code Geass: Hangyaku no Lelouch,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']","In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence. 
 
Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all. 
 
[Written by MAL Rewrite]",TV,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']",['Sunrise'],8.79,625466.0,11.0,983674.0,25.0,Original,"Oct 6, 2006 to Jul 29, 2007",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
20,Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']","Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. 
 
Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes. 
 
[Written by MAL Rewrite]",TV,"['TV Tokyo', 'Aniplex', 'Shueisha']",['Studio Pierrot'],7.88,645672.0,9.0,975394.0,220.0,Manga,"Oct 3, 2002 to Feb 8, 2007",https://myanimelist.net/anime/20/Naruto
19815,No Game No Life,"['Game', 'Adventure', 'Comedy', 'Supernatural', 'Ecchi', 'Fantasy']","No Game No Life  is a surreal comedy that follows Sora and Shiro, shut-in NEET siblings and the online gamer duo behind the legendary username ""Blank."" They view the real world as just another lousy game; however, a strange e-mail challenging them to a chess match changes everything—the brother and sister are plunged into an otherworldly realm where they meet Tet, the God of Games. 
 
The mysterious god welcomes Sora and Shiro to Disboard, a world where all forms of conflict—from petty squabbles to the fate of whole countries—are settled not through war, but by way of high-stake games. This system works thanks to a fundamental rule wherein each party must wager something they deem to be of equal value to the other party's wager. In this strange land where the very idea of humanity is reduced to child's play, the indifferent genius gamer duo of Sora and Shiro have finally found a real reason to keep playing games: to unite the sixteen races of Disboard, defeat Tet, and become the gods of this new, gaming-is-everything world. 
 
[Written by MAL Rewrite]",TV,"['Frontier Works', 'Media Factory', 'Movic', 'AT-X']",['Madhouse'],8.41,620456.0,8.0,966110.0,12.0,Light novel,"Apr 9, 2014 to Jun 25, 2014",https://myanimelist.net/anime/19815/No_Game_No_Life
10620,Mirai Nikki,"['Action', 'Psychological', 'Supernatural', 'Thriller', 'Mystery', 'Shounen']","Lonely high school student, Yukiteru Amano, spends his days writing a diary on his cellphone, while conversing with his two seemingly imaginary friends Deus Ex Machina, who is the god of time and space, and Murmur, the god's servant. Revealing himself to be an actual entity, Deus grants Yukiteru a ""Random Diary,"" which shows highly descriptive entries based on the future and forces him into a bloody battle royale with 11 other holders of similarly powerful future diaries. 
 
With the last person standing designated as the new god of time and space, Yukiteru must find and kill the other 11 in order to survive. He reluctantly teams up with his obsessive stalker Yuno Gasai (who also possesses such a diary), and she takes it upon herself to ensure his safety. But there's more to the girl than meets the eye, as she might have other plans for her unrequited love... 
 
[Written by MAL Rewrite]",TV,"['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'chara-ani.com', '12 Diary Holders', 'Dwango', 'Sakura Create']",['Asread'],7.89,591121.0,13.0,961215.0,26.0,Manga,"Oct 9, 2011 to Apr 15, 2012",https://myanimelist.net/anime/10620/Mirai_Nikki
4224,Toradora!,"['Slice of Life', 'Comedy', 'Romance', 'School']","Ryuuji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand is Taiga Aisaka, a small, doll-like student, who is anything but a cute and fragile girl. Equipped with a wooden katana and feisty personality, Taiga is known throughout the school as the ""Palmtop Tiger."" 
 
One day, an embarrassing mistake causes the two students to cross paths. Ryuuji discovers that Taiga actually has a sweet side: she has a crush on the popular vice president, Yuusaku Kitamura, who happens to be his best friend. But things only get crazier when Ryuuji reveals that he has a crush on Minori Kushieda—Taiga's best friend! 
 
 Toradora!  is a romantic comedy that follows this odd duo as they embark on a quest to help each other with their respective crushes, forming an unlikely alliance in the process. 
 
[Written by MAL Rewrite]",TV,"['Genco', 'Starchild Records', 'Magic Capsule', 'Yomiuri Advertising', 'TV Tokyo Music']",['J.C.Staff'],8.39,556177.0,14.0,907550.0,25.0,Light novel,"Oct 2, 2008 to Mar 26, 2009",https://myanimelist.net/anime/4224/Toradora
9919,Ao no Exorcist,"['Action', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']","Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. However, Satan, the ruler of Gehenna, cannot find a suitable host to possess and therefore, remains imprisoned in his world. In a desperate attempt to conquer Assiah, he sends his son instead, intending for him to eventually grow into a vessel capable of possession by the demon king. 
 
 Ao no Exorcist  follows Rin Okumura who appears to be an ordinary, somewhat troublesome teenager—that is until one day he is ambushed by demons. His world turns upside down when he discovers that he is in fact the very son of Satan and that his demon father wishes for him to return so they can conquer Assiah together. Not wanting to join the king of Gehenna, Rin decides to begin training to become an exorcist so that he can fight to defend Assiah alongside his brother Yukio. 
 
[Written by MAL Rewrite]",TV,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sakura Create', 'Shueisha']",['A-1 Pictures'],7.83,520377.0,17.0,860202.0,25.0,Manga,"Apr 17, 2011 to Oct 2, 2011",https://myanimelist.net/anime/9919/Ao_no_Exorcist
20507,Noragami,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","In times of need, if you look in the right place, you just may see a strange telephone number scrawled in red. If you call this number, you will hear a young man introduce himself as the Yato God. 
 
Yato is a minor deity and a self-proclaimed ""Delivery God,"" who dreams of having millions of worshippers. Without a single shrine dedicated to his name, however, his goals are far from being realized. He spends his days doing odd jobs for five yen apiece, until his weapon partner becomes fed up with her useless master and deserts him. 
 
Just as things seem to be looking grim for the god, his fortune changes when a middle school girl, Hiyori Iki, supposedly saves Yato from a car accident, taking the hit for him. Remarkably, she survives, but the event has caused her soul to become loose and hence able to leave her body. Hiyori demands that Yato return her to normal, but upon learning that he needs a new partner to do so, reluctantly agrees to help him find one. And with Hiyori's help, Yato's luck may finally be turning around. 
 
[Written by MAL Rewrite]",TV,"['Avex Entertainment', 'Dentsu', 'Shochiku', 'Kodansha', 'Movic', 'Ai Addiction', 'Lawson HMV Entertainment', 'A-Sketch']",['Bones'],8.15,499984.0,16.0,842558.0,12.0,Manga,"Jan 5, 2014 to Mar 23, 2014",https://myanimelist.net/anime/20507/Noragami
226,Elfen Lied,"['Action', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Seinen']","Lucy is a special breed of human referred to as ""Diclonius,"" born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. However, once circumstances present her an opportunity to escape, Lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors. 
 
During her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. In this state of instability, she stumbles upon two college students, Kouta and his cousin Yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. This act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy. 
 
[Written by MAL Rewrite]",TV,"['VAP', 'Genco', 'A-Line']",['Arms'],7.76,513467.0,26.0,831141.0,13.0,Manga,"Jul 25, 2004 to Oct 17, 2004",https://myanimelist.net/anime/226/Elfen_Lied
21881,Sword Art Online II,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']","A year after escaping Sword Art Online, Kazuto Kirigaya has been settling back into the real world. However, his peace is short-lived as a new incident occurs in a game called Gun Gale Online, where a player by the name of Death Gun appears to be killing people in the real world by shooting them in-game. Approached by officials to assist in investigating the murders, Kazuto assumes his persona of Kirito once again and logs into Gun Gale Online, intent on stopping the killer. 
 
Once inside, Kirito meets Sinon, a highly skilled sniper afflicted by a traumatic past. She is soon dragged in his chase after Death Gun, and together they enter the Bullet of Bullets, a tournament where their target is sure to appear. Uncertain of Death Gun's real powers, Kirito and Sinon race to stop him before he has the chance to claim another life. Not everything goes smoothly, however, as scars from the past impede their progress. In a high-stakes game where the next victim could easily be one of them, Kirito puts his life on the line in the virtual world once more. 
 
[Written by MAL Rewrite]",TV,"['Aniplex', 'Genco', 'ASCII Media Works', 'Bandai Namco Entertainment']",['A-1 Pictures'],7.2,528708.0,18.0,827221.0,24.0,Light novel,"Jul 5, 2014 to Dec 20, 2014",https://myanimelist.net/anime/21881/Sword_Art_Online_II
